,movie,year,imdb,metascore,votes,grade,runtime,genre,n_imdb
1678,The Hunger Games: Mockingjay - Part 1,2014,6.6,64,386181,PG-13,123 min,"Action, Adventure, Sci-Fi            ",66
1679,Big Hero 6,2014,7.8,74,380353,PG,102 min,"Animation, Action, Adventure            ",78
1680,The Theory of Everything,2014,7.7,72,368849,PG-13,123 min,"Biography, Drama, Romance            ",77
1681,Godzilla,2014,6.4,62,359020,PG-13,123 min,"Action, Adventure, Sci-Fi            ",64
1682,22 Jump Street,2014,7,71,325502,R,112 min,"Action, Comedy, Crime            ",70
1683,The Fault in Our Stars,2014,7.7,69,321561,PG-13,126 min,"Drama, Romance            ",77
1684,Boyhood,2014,7.9,100,319599,R,165 min,Drama            ,79
1685,Maleficent,2014,7,56,314190,PG,97 min,"Action, Adventure, Family            ",70
1686,The Equalizer,2014,7.2,57,309035,R,132 min,"Action, Crime, Thriller            ",72
1687,The Lego Movie,2014,7.8,83,308974,PG,100 min,"Animation, Action, Adventure            ",78
1688,The Interview,2014,6.5,52,290315,R,112 min,"Action, Adventure, Comedy            ",65
1689,Transformers: Age of Extinction,2014,5.6,32,287012,PG-13,165 min,"Action, Adventure, Sci-Fi            ",56
1690,How to Train Your Dragon 2,2014,7.8,76,284903,PG,102 min,"Animation, Action, Adventure            ",78
1691,Neighbors,2014,6.3,68,270154,R,97 min,Comedy            ,63
1692,300: Rise of an Empire,2014,6.2,48,267186,R,102 min,Action            ,62
1693,Non-Stop,2014,7,56,237940,PG-13,106 min,"Action, Mystery, Thriller            ",70
1694,Noah,2014,5.8,68,232045,PG-13,138 min,"Action, Adventure, Drama            ",58
1695,Predestination,2014,7.5,69,230541,R,97 min,"Action, Drama, Mystery            ",75
1696,RoboCop,2014,6.2,52,208044,PG-13,117 min,"Action, Crime, Sci-Fi            ",62
1697,Transcendence,2014,6.3,42,207164,PG-13,119 min,"Drama, Sci-Fi, Thriller            ",63
1698,Teenage Mutant Ninja Turtles,2014,5.8,31,193966,PG-13,101 min,"Action, Adventure, Comedy            ",58
1699,It Follows,2014,6.8,83,189002,R,100 min,"Horror, Mystery, Thriller            ",68
1700,Chef,2014,7.3,68,178830,R,114 min,"Adventure, Comedy, Drama            ",73
1701,Interstellar,2014,8.6,74,1340337,PG-13,169 min,"Adventure, Drama, Sci-Fi            ",86
1702,Guardians of the Galaxy,2014,8,76,976435,PG-13,121 min,"Action, Adventure, Comedy            ",80
1703,Gone Girl,2014,8.1,79,780716,R,149 min,"Drama, Mystery, Thriller            ",81
1704,Captain America: The Winter Soldier,2014,7.8,70,684578,PG-13,136 min,"Action, Adventure, Sci-Fi            ",78
1705,The Grand Budapest Hotel,2014,8.1,88,647624,R,99 min,"Adventure, Comedy, Crime            ",81
1706,Whiplash,2014,8.5,88,637513,R,106 min,"Drama, Music            ",85
1707,The Imitation Game,2014,8,73,632564,PG-13,114 min,"Biography, Drama, Thriller            ",80
1708,X-Men: Days of Future Past,2014,8,75,631163,PG-13,132 min,"Action, Adventure, Sci-Fi            ",80
1709,Edge of Tomorrow,2014,7.9,71,557537,PG-13,113 min,"Action, Sci-Fi            ",79
1710,Kingsman: The Secret Service,2014,7.7,60,555019,R,129 min,"Action, Adventure, Comedy            ",77
1711,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87,531981,R,119 min,"Comedy, Drama            ",77
1712,John Wick,2014,7.4,68,480671,R,101 min,"Action, Crime, Thriller            ",74
1713,The Hobbit: The Battle of the Five Armies,2014,7.4,59,445854,PG-13,144 min,"Adventure, Fantasy            ",74
1714,Ex Machina,2014,7.7,78,434595,R,108 min,"Drama, Mystery, Sci-Fi            ",77
1715,Nightcrawler,2014,7.9,76,416591,R,117 min,"Crime, Drama, Thriller            ",79
1716,Lucy,2014,6.4,61,410545,R,89 min,"Action, Sci-Fi, Thriller            ",64
1717,American Sniper,2014,7.3,72,409052,R,133 min,"Action, Biography, Drama            ",73
1718,Divergent,2014,6.7,48,404848,PG-13,139 min,"Action, Adventure, Mystery            ",67
1719,The Amazing Spider-Man 2,2014,6.6,53,395625,PG-13,142 min,"Action, Adventure, Sci-Fi            ",66
1720,Dawn of the Planet of the Apes,2014,7.6,79,395041,PG-13,130 min,"Action, Adventure, Drama            ",76
1721,The Maze Runner,2014,6.8,57,393416,PG-13,113 min,"Action, Mystery, Sci-Fi            ",68
1722,Fury,2014,7.6,64,390656,R,134 min,"Action, Drama, War            ",76
1723,The Hunger Games: Mockingjay - Part 1,2014,6.6,64,386181,PG-13,123 min,"Action, Adventure, Sci-Fi            ",66
1724,Big Hero 6,2014,7.8,74,380353,PG,102 min,"Animation, Action, Adventure            ",78
1725,The Theory of Everything,2014,7.7,72,368849,PG-13,123 min,"Biography, Drama, Romance            ",77
1726,Godzilla,2014,6.4,62,359020,PG-13,123 min,"Action, Adventure, Sci-Fi            ",64
1727,22 Jump Street,2014,7,71,325502,R,112 min,"Action, Comedy, Crime            ",70
